datetime,temperature,lighting,humidity,pressure
2049-01-01 00:00:00,-18.0,-1.0,0.7,785.5
2049-01-01 00:30:00,-17.99,-1.0,0.82,791.48
2049-01-01 01:00:00,-17.96,-1.0,710000.0,785.93
2049-01-01 01:30:00,-17.92,-1.0,0.81,790.87
2049-01-01 02:00:00,-17860000.0,-990000.0,730000.0,786.77
2049-01-01 02:30:00,-17780000.0,-0.98,0.69,784.64
2049-01-01 03:00:00,-17700000.0,,0.73,786.51
2049-01-01 03:30:00,-17590000.0,-0.92,0.76,787.83
2049-01-01 04:00:00,-17.48,-0.87,0.76,787.65
2049-01-01 04:30:00,-17.36,-0.79,0.73,785.96
2049-01-01 05:00:00,-17.23,-0.7,0.84,791.24
2049-01-01 05:30:00,-17.1,-600000.0,0.77,787530000.0
2049-01-01 06:00:00,-16.97,-0.47,0.81,789.32
2049-01-01 06:30:00,-16830000.0,-0.32,0.74,785590000.0
2049-01-01 07:00:00,-16700000.0,-0.16,0.77,786880000.0
2049-01-01 07:30:00,-16.58,0.01,710000.0,783.68
2049-01-01 08:00:00,-16460000.0,0.18,0.7,782.99
2049-01-01 08:30:00,-16.35,,710000.0,783.31
2049-01-01 09:00:00,-16.26,0.52,0.71,783.16
2049-01-01 09:30:00,-16.18,,0.86,790530000.0
2049-01-01 10:00:00,-16.11,0.79,0.77,785.91
2049-01-01 10:30:00,-16050000.0,0.89,0.82,788.32
2049-01-01 11:00:00,,960000.0,0.76,785.27
2049-01-01 11:30:00,-16.0,1.0,0.75,784.73
2049-01-01 12:00:00,-16.0,1.0,810000.0,787.73
2049-01-01 12:30:00,-16.02,0.96,0.68,781.27
2049-01-01 13:00:00,,0.89,0.73,783.82
2049-01-01 13:30:00,-16.11,0.79,0.76,785.41
2049-01-01 14:00:00,-16.17,660000.0,0.71,783.01
2049-01-01 14:30:00,-16260000.0,0.52,0.78,786.66
2049-01-01 15:00:00,-16.35,0.35,0.76,785.81
2049-01-01 15:30:00,-16.46,0.18,0.7,782.99
2049-01-01 16:00:00,-16.58,10000.0,0.76,
2049-01-01 16:30:00,-16.7,-0.16,0.78,787380000.0
2049-01-01 17:00:00,,-0.32,0.74,785.59
2049-01-01 17:30:00,-16.96,-0.47,0.75,786.3
